park_id,name_en,address_en,district,latitude,longitude,height_limit,opening_status,website,phone
12,Amoy Plaza,"77 Ngau Tau Kok Raod, Kowloon Bay, KLN",Kwun Tong District,22.32470074,114.21675324,1.9,OPEN,https://www.facebook.com/AmoyPlazaHK/,2756 3666
27,Yau Lai Shopping Centre Carpark,"LG1 & LG2, Yau Lai Shopping Centre, 9 Yau Tong, Yau Tong, Kowloon, Yau Tong, KLN",Kwun Tong District,22.29851205,114.23740089,2,OPEN,,23530667
30,Telford Plaza D Carpark,"33 Wai Yip Street, Kowloon Bay, KLN",Kwun Tong District,22.32228903,114.21204329,1.75,OPEN,http://www.telford-plaza.com/tch/tp/about_us/parking_info.jsp,2997 2262
31,Telford Plaza I Carpark,"33 Wai Yip Street, Kowloon Bay, KLN",Kwun Tong District,22.32268602,114.21353459,3.6,OPEN,http://www.telford-plaza.com/tch/tp/about_us/parking_info.jsp,2997 2262
32,Telford Plaza II Carpark,"33 Wai Yip Street, Kowloon Bay, KLN",Kwun Tong District,22.32135609,114.21326637,2,OPEN,http://www.telford-plaza.com/tch/tp/about_us/parking_info.jsp,2997 2262
38,Domain Carpark,"LG1, Domain, 38 Ko Chiu Road, Yau Tong, KLN",Kwun Tong District,22.29598076,114.23869371,2.1,OPEN,http://www.domain-mall.hk/index.php/about-domain,28702992
75,Landmark East Carpark,"Landmark East, 100 How Ming Street, Kwun Tong, KLN",Kwun Tong District,22.31267152,114.22228396,,OPEN,http://www.landmarkeast.com.hk,3971 0203
77,Kingston International Center,"19 Wang Chiu Road, Kowloon Bay, KLN",Kwun Tong District,22.32361547,114.20924917,,OPEN,,35895162
78,Stelux House,"Stelux House, 698 Prince Edward Road East, San Po Kong, KLN",Wong Tai Sin District,22.33448116,114.1981709,3.8,OPEN,,2350 4501
81,Manulife Place,"348 Kwun Tong Road, Kwun Tong, KLN",Kwun Tong District,22.3149246,114.21706438,4.7,OPEN,https://itt-hk.com/en/index.php,21543090
88,"Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong","Public Vehicle Parking, 8 Yan Yue Wai, Yau Tong, KLN",Kwun Tong District,22.292238,114.236683,2.4,OPEN,,2366 2823
93,Hong Ning Road Park Car Park,"Junction of Hong Ning Road and Wo Hong Path, Kwun Tong, KLN",Kwun Tong District,22.32070104,114.22477841,2.45,OPEN,,
100,Prosperity Place Car Park,"Prosperity Place Car Park, 6 Shing Yip Street, Kwun Tong, KLN",Kwun Tong District,22.31060791,114.2257385,4.1,OPEN,,67961400
101,Prosperity Center Car Park,"Prosperity Centre Car Park, 25 Chong Yip Street, Kwun Tong, KLN",Kwun Tong District,22.31414153,114.2195567,4.1,OPEN,,67961393
102,Scramble Hill,"98 How Ming Street, Kwun Tong, KLN",Kwun Tong District,22.3131996,114.2205472,,OPEN,https://www.wilsonparking.com.hk/zh/car_parks/detail/421,9853-1924
103,One Sky Parc (Wilson Parking),"53 Hung To Road, Kwun Tong, KLN",Kwun Tong District,22.3111392,114.2223215,,OPEN,https://www.wilsonparking.com.hk/zh/car_parks/detail/347,9229-6642
104,AIRSIDE,"AIRSIDE, 2 Concorde Road, Kai Tak, San Po Kong, KLN",Wong Tai Sin District,22.33124094,114.198246,2.4,OPEN,https://www.airside.com.hk/en,26860333
117,Kai Ching Estate Car Park,"12 Muk Hung Street, Kowloon City, KLN",Kowloon City District,22.3315089,114.2027843,2.4,OPEN,,
118,Tak Long Estate Carpark A,"Shing Kai Road, Kowloon City, KLN",Kowloon City District,22.32879957,114.20429707,2,OPEN,,
119,Tak Long Estate Carpark B,"Muk Chui Street, Kowloon City, KLN",Kowloon City District,22.3308936,114.20424879,4.7,OPEN,,
123,KTR350 Car Park,"KWUN TONG ROAD 350, Kwun Tong, KLN",Kwun Tong District,22.3150437,114.2179817,,OPEN,,21168259
128,The Burrow (Wilson Parking),"15-17 Ng Fong Street, San Po Kong, KLN",Wong Tai Sin District,22.3381653,114.199945,,OPEN,https://www.wilsonparking.com.hk/zh/car_parks/detail/424,9737-0932
tdc166p1,Phase 1 Carpark of Tin Ching Estate,"Tin Ching Estate (Phase 1 Carpark), Yuen Long, New Territories",Yuen Long,22.463276765818,114.00184446738,0,CLOSED,,34018578
tdc6p11,Cheung Shan Estate Carpark,"Cheung Shan Estate Road West, Tsuen Wan, N.T.",Tsuen Wan,22.378225291103,114.12981855349,1.7,OPEN,,
tdc245p1,Hong Wah Court Car Park,"No.2 Lin Tak Road, Lam Tin, Kowloon",Kwun Tong,22.313958857871,114.24008778165,0,CLOSED,,
tdc6p8,Kwai Shing West Shopping Centre Car Park,"Kwai Luen Road, Kwai Chung, N.T.",Kwai Tsing,22.360948600865,114.12163200072,1.8,OPEN,,98553566
tdc6p9,Lai King Estate Car Park C,"Lai King Hill Road, Kwai Chung, N.T.",Kwai Tsing,22.349594568342,114.126365945,0,OPEN,,
tdc8p3,MTR Hong Kong Station Car Park,"FINANCE STREET, Central & Western District, Hong Kong",Central & Western,22.285922464,114.157505851,2.1,OPEN,https://www.mtr.com.hk/en/customer/services/aestations_carpark.html,28818888
tdcp10,Aberdeen Car Park,"18 Aberdeen Reservoir Road, Aberdeen, Hong Kong",Southern,22.25027272,114.15661803,0,OPEN,http://www.mackcarpark.com.hk/eng/carpark_info.php?id=32,
tdcp11,Tin Hau Car Park,"Lau Sin Street & Electric Road, Tin Hau",Wan Chai,22.28288221,114.19166511,0,OPEN,https://www.wilsonparking.com.hk/en-us/car_parks/detail/7,
tdcp12,Sheung Fung Street Car Park,"Sheung Fung Street, Wong Tai Sin, Kowloon",Wong Tai Sin,22.34395897,114.19705899,0,OPEN,http://www.mackcarpark.com.hk/eng/carpark_info.php?id=33,
tdcp2,Rumsey Street Car Park,"2 Rumsey Street, Sheung Wan, Hong Kong",Central & Western,22.28740848,114.15322694,0,OPEN,http://www.mackcarpark.com.hk/eng/carpark_info.php?id=31,
tdcp3,Tsuen Wan Car Park,"174-208 Castle Peak Road, Tsuen Wan, New Territories",Tsuen Wan,22.37284735,114.11860252,0,OPEN,https://www.wilsonparking.com.hk/en-us/car_parks/detail/8,
tdcp5,City Hall Car Park,"1 Edinburgh Place, Central, Hong Kong",Central & Western,22.28191055,114.16213972,0,OPEN,https://www.wilsonparking.com.hk/en-us/car_parks/detail/296,
tdcp6,Kwai Fong Car Park,"19 Kwai Yi Road, Kwai Fong",Kwai Tsing,22.35548531,114.1273145,0,OPEN,https://www.wilsonparking.com.hk/en-us/car_parks/detail/295,
tdcp7,Kennedy Town Car Park,"12 Rock Hill Street, Kennedy Town, Hong Kong",Central & Western,22.281789590964,114.1289777931,0,OPEN,http://www.mackcarpark.com.hk/eng/carpark_info.php?id=27,
tdcp8,Star Ferry Car Park,"9 Edinburgh Place, Central, Hong Kong",Central & Western,22.28275461,114.16043975,0,OPEN,https://www.wilsonparking.com.hk/en-us/car_parks/detail/297,
tdcp9,Shau Kei Wan Car Park,"1 Po Man Street, Shau Kei Wan, Hong Kong",Eastern,22.278806935348,114.22929555525,0,OPEN,http://www.mackcarpark.com.hk/eng/carpark_info.php?id=21,
tdstt2p2,Value Parking Shan Mei Street,"Junction of Shan Mei Street & Sui Wo Road, Fo Tan",Sha Tin,22.397891278542,114.19250685444,0,OPEN,,
tdc5p1,Hopewell Centre,"183 Queen’s Road East, Wan Chai, Hong Kong (Entrance on Kennedy Road)",Wan Chai,22.2745918,114.17167341,2,OPEN,https://www.hopewellcentre.com/eng/hc_parking.htm,2527 7292
tdc5p3,Wu Chung House,"213 Queen's Road East, Wan Chai District, Hong Kong",Wan Chai,22.27437133,114.17247315,1.9,OPEN,,2893 9369
tdc5p4,Panda Place,"3 Tsuen Wah Street, Tsuen Wan, Hong Kong",Tsuen Wan,22.36891824,114.12042744,0,OPEN,https://pandaplace.com.hk/parking/,
tdc17p1,Xiqu Centre Car Park,"88 Austin Road West, Tsim Sha Tsui, Kowloon",Yau Tsim Mong,22.301651259456,114.16682582649,2.45,OPEN,https://www.westk.hk/en/visit/parking,
tdstt30,Hoi Ting Road,"Hoi Ting Road, Yau Ma Tei, Kowloon",Yau Tsim Mong,22.31401294,114.16276657,0,OPEN,,
tdc1p5,Lee Garden Three Car Park,"1 Sunning Road, Causeway Bay, Hong Kong",Wan Chai,22.277647169,114.185359006,2.4,OPEN,https://www.leegardens.com.hk/car-park-promotion?lang=en-US#car-info-1,
tdc1p4,Hysan Place Car Park,"500 Hennessy Road, Wan Chai District, Hong Kong",Wan Chai,22.279907691,114.183409552,3.5,OPEN,https://www.leegardens.com.hk/car-park-promotion?lang=en-US#car-info-1,
tdc1p3,Leighton Centre Car Park,"77 LEIGHTON ROAD, Wan Chai District, Hong Kong",Wan Chai,22.27776811,114.18310035,1.9,CLOSED,https://www.leegardens.com.hk/car-park-promotion?lang=en-US#car-info-1,
tdc1p2,LEE GARDEN TWO CAR PARK,"28 YUN PING ROAD, Wan Chai District, Hong Kong",Wan Chai,22.278447785015,114.18588410894,2.1,CLOSED,https://www.leegardens.com.hk/car-park-promotion?lang=en-US#car-info-1,
tdc1p1,LEE GARDEN ONE CAR PARK,"33 HYSAN AVENUE, Wan Chai District, Hong Kong",Wan Chai,22.278552057575,114.18465013653,2,CLOSED,https://www.leegardens.com.hk/car-park-promotion?lang=en-US#car-info-1,
tdc17p3,West Gate Open Car Park,"Project Site Office, WKCD, Kowloon, Hong Kong",Yau Tsim Mong,22.30314788228,114.15550327635,2.45,OPEN,https://www.westk.hk/en/visit/parking,22000367
tdstt3p1,Skye Parking Ho Tin Street,"Ho Tin Street, Area 9, Tuen Mun, N.T.",Tuen Mun,22.398162646437,113.97067221328,0,OPEN,,
tdc17p2,Art Park Car Park,"West Kowloon Cultural District, No.36 Museum Drive, Kowloon, Hong Kong",Yau Tsim Mong,22.301091853725,114.15789183876,2.1,OPEN,https://www.westk.hk/en/visit/parking,22000367
tdstt5p1,Skye Parking Ma Wo Road,"Ma Wo Road, Area 6, Tai Po, N.T.",Tai Po,22.4421,114.1635,0,OPEN,,
tdc14p1004,Choi Ming Car Park 1,"Choi Ming Shopping Centre, 1 Choi Ming Street, Tiu Keng Leng, Tseung Kwan O, New Territories",Sai Kung,22.30666,114.252446,2.2,OPEN,https://www.linkhk.com/en/parking/1004,5487 7944
tdc14p1005,Choi Ming Car Park 2,"Choi Ming Shopping Centre, 1 Choi Ming Street, Tiu Keng Leng, Tseung Kwan O, New Territories",Sai Kung,22.308972,114.255308,2.1,OPEN,https://www.linkhk.com/en/parking/1005,5487 7944
tdc14p1006,Kin Ming Car Park A,"Kin Ming Estate Car Park, 1 Choi Ming Street, Tiu Keng Leng, Tseung Kwan O, New Territories",Sai Kung,22.306028,114.251108,2.4,OPEN,https://www.linkhk.com/en/parking/1006,5487 7944
tdc14p1007,Tong Ming Car Park,"Tong Ming Court Retail and Car Park, 15 Tong Ming Street, Tseung Kwan O, New Territories",Sai Kung,22.308863973266,114.25621654471,2,OPEN,https://www.linkhk.com/en/parking/1007,5487 7944
tdc14p1008,TKO Spot Car Park A,"TKO Spot, 2 Tong Ming Street, Tseung Kwan O, New Territories",Sai Kung,22.311604612928,114.26019419462,2.1,OPEN,https://www.linkhk.com/en/parking/1008,5487 7944
tdc14p1012,TKO Spot Car Park B,"TKO Spot, 2 Tong Ming Street, Tseung Kwan O, New Territories",Sai Kung,22.310691104262,114.25764225173,2.3,OPEN,https://www.linkhk.com/en/parking/1012,5487 7944
tdc14p1015,Oi Tung Car Park,"Oi Tung Shopping Centre, 18 Oi Yin Street, Shau Kei Wan, Hong Kong",Eastern,22.280511,114.22719,2.4,OPEN,https://www.linkhk.com/en/parking/1015,2117 7076
tdc14p1016,Yiu Tung Car Park 1,"Yiu Tung Shopping Centre, 12 Yiu Hing Road, Shau Kei Wan, Hong Kong",Eastern,22.278217902704,114.22241415939,2.2,OPEN,https://www.linkhk.com/en/parking/1016,2117 7076
tdc14p1017,Hing Tung Car Park,"Hing Tung Shopping Centre, 55 Yiu Hing Road, Shau Kei Wan, Hong Kong",Eastern,22.2804899,114.2200719,2,OPEN,https://www.linkhk.com/en/parking/1017,2117 7076
tdstt38,Man Lai Road,"Man Lai Road, Sha Tin",Sha Tin,22.37662315,114.18343353,0,OPEN,,
tdc268p1,Shek Kip Mei Park Sports Centre,"Nam Shan Chuen Road, Sham Shui Po",Sham Shui Po,22.336934266832,114.17009230965,2.45,CLOSED,,
tdc14p1030,Siu Sai Wan Phase 3 Car Park,"Siu Sai Wan Plaza, 10 Siu Sai Wan Road, Siu Sai Wan, Hong Kong",Eastern,22.261,114.251273,1.9,OPEN,https://www.linkhk.com/en/parking/1030,2117 7076
tdc14p1031,Siu Sai Wan Phase 1 Car Park,"Siu Sai Wan Plaza, 10 Siu Sai Wan Road, Siu Sai Wan, Hong Kong",Eastern,22.262853,114.248621,1.9,OPEN,https://www.linkhk.com/en/parking/1060,2117 7076
tdc14p1032,Tsui Wan Car Park,"Tsui Wan Estate Retail and Car Park, 3 Tsui Wan Street, Chai Wan, Hong Kong",Eastern,22.26733,114.24,1.8,OPEN,https://www.linkhk.com/en/parking/1032,2117 7076
tdc14p1033,Wan Tsui Car Park,"Wan Tsui Commercial Complex, 2 Wah Ha Street, Chai Wan, Hong Kong",Eastern,22.261888,114.236826,2,OPEN,https://www.linkhk.com/en/parking/1033,2117 7076
tdc14p1034,Hing Wah Car Park B,"Hing Wah Plaza, 11 Wan Tsui Road, Chai Wan, Hong Kong",Eastern,22.26303,114.2351,2.4,OPEN,https://www.linkhk.com/en/parking/1034,2117 7076
tdc14p1037,Yiu Tung Car Park 2,"Yiu Tung Shopping Centre, 12 Yiu Hing Road, Shau Kei Wan, Hong Kong",Eastern,22.277303,114.225057,2,OPEN,https://www.linkhk.com/en/parking/1037,2117 7076
tdc25p42,Cornell Centre,"50 Wing Tai Road, Chai Wan, Hong Kong",Eastern,22.26745987,114.24284363,4.42,OPEN,https://www.sino-propertyservices.com/en/parking-services/portfolio,25562898
tdc14p2101,Chung On Car Park,"Chung On Shopping Centre, 632 Sai Sha Road, Ma On Shan, Sha Tin, New Territories",Sha Tin,22.42166,114.226755,2,OPEN,https://www.linkhk.com/en/parking/2141,5487 7944
tdc14p2104,Heng On Car Park,"Heng On Commercial Centre, 1 Hang Kam Street, Ma On Shan, Sha Tin, New Territories",Sha Tin,22.416621,114.228137,1.9,OPEN,https://www.linkhk.com/en/parking/2104,5487 7944
tdc14p2106,Yiu On Car Park,"Yiu On Shopping Centre, 2 Hang Hong Street, Ma On Shan, Sha Tin, New Territories",Sha Tin,22.420482,114.230566,2,OPEN,https://www.linkhk.com/en/parking/2146,5487 7944
tdc25p41,Chai Wan Industrial City Phase II,"70 Wing Tai Road, Chai Wan, Hong Kong",Eastern,22.26823807,114.24238586,3.8,OPEN,https://www.sino-propertyservices.com/en/parking-services/portfolio,25574849
tdc25p40,Chai Wan Industrial City Phase I,"60 Wing Tai Road, Chai Wan, Hong Kong",Eastern,22.2678318,114.24260712,3.5,OPEN,https://www.sino-propertyservices.com/en/parking-services/portfolio,28972906
tdc14p2116,Cheung Wah Car Park A,"Cheung Wah Shopping Centre, 38 San Wan Road, Fanling, New Territories",North,22.493288,114.142545,1.9,OPEN,https://www.linkhk.com/en/parking/2116,5487 7944
tdc14p2117,Cheung Wah Car Park B,"Cheung Wah Shopping Centre, 38 San Wan Road, Fanling, New Territories",North,22.49308806298,114.14018591669,1.9,OPEN,https://www.linkhk.com/en/parking/2117,5487 7944
tdc14p2118,Choi Yuen Car Park A,"Choi Yuen Plaza, 8 Choi Yuen Road, Sheung Shui, New Territories",North,22.500856,114.126642,2,OPEN,https://www.linkhk.com/en/parking/2118,5487 7944
tdc14p2119,Choi Yuen Car Park B,"Choi Yuen Plaza, 8 Choi Yuen Road, Sheung Shui, New Territories",North,22.500256,114.127127,0,OPEN,https://www.linkhk.com/en/parking/2119,5487 7944
tdc14p2120,Choi Yuen Car Park C,"Choi Yuen Plaza, 8 Choi Yuen Road, Sheung Shui, New Territories",North,22.500147,114.126765,2.2,OPEN,https://www.linkhk.com/en/parking/2120,5487 7944
tdc14p2121,Choi Yuen Car Park D,"Choi Yuen Plaza, 8 Choi Yuen Road, Sheung Shui, New Territories",North,22.50026577973,114.12856319308,0,OPEN,https://www.linkhk.com/en/parking/2121,5487 7944
tdc284p1,Shun Chi Court Car Park,"8 Shun Chi Street, Kwun Tong, Kowloon",Kwun Tong,22.332337058373,114.227103451,2,CLOSED,,90762891
tdc14p3201,Hin Keng Car Park,"Hin Keng Shopping Centre, 69 Che Kung Miu Road, Tai Wai, Sha Tin, New Territories",Sha Tin,22.364076,114.172507,1.9,OPEN,https://www.linkhk.com/en/parking/3201,5487 7944
tdc14p3204,Lung Hang A Car Park,"Lung Hang Commercial Centre, 1 Tin Sam Street, Tai Wai, Sha Tin, New Territories",Sha Tin,22.368072436212,114.17928156201,1.9,OPEN,https://www.linkhk.com/en/parking/3204,5487 7944
tdc14p3206,Sun Chui Car Park B,"Sun Chui Shopping Centre, 2 Chui Tin Street, Tai Wai, Sha Tin, New Territories",Sha Tin,22.370134937043,114.18217401718,2.1,OPEN,https://www.linkhk.com/en/parking/3206,5487 7944
tdc269p1,Shek Kip Mei Park Stage Three,"Nam Shan Chuen Road, Sham Shui Po",Sham Shui Po,22.335154884067,114.17029621633,2.45,CLOSED,,
tdc14p3216,Mei Lam Car Park,"Mei Lam Commercial Centre, 30 Mei Tin Road, Tai Wai, Sha Tin, New Territories",Sha Tin,22.37805,114.175472,1.9,OPEN,https://www.linkhk.com/en/parking/3216,5487 7944
tdc264p1,Siu Tsui Court,"26 Hang Fu Street, Tuen Mun",Tuen Mun,22.383052922484,113.97083297776,2.45,CLOSED,,
tdc14p3303,Tin Wah Car Park,"Tin Wah Estate Retail and Car Park, 21 Tin Tan Street, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.461330014415,113.99616103036,0,OPEN,https://www.linkhk.com/en/parking/3303,2117 7076
tdc14p3304,T Town South Car Park,"T Town, 30 & 33 Tin Wah Road, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.461279941764,113.99726911063,2,OPEN,https://www.linkhk.com/en/parking/3304,2117 7076
tdc14p3306,T Town North Car Park,"Tin Yuet Estate Car Park, 33 & 39 Tin Wah Road, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.462297124394,113.9993792822,2,OPEN,https://www.linkhk.com/en/parking/3306,2117 7076
tdc247p1,King Shan Court Car Park,32 Fung Shing St,Wong Tai Sin,22.34173165248,114.20980781505,1.9,CLOSED,,
tdc14p3309,Tin Chak Car Park,"Tin Chak Shopping Centre, 71, 73, 75 & 77 Tin Shui Road, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.46684,113.997449,0,OPEN,https://www.linkhk.com/en/parking/3309,2117 7076
tdc14p3311,Tin Yat Car Park,"Tin Yat Estate Retail and Car Park, 76 Tin Shui Road, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.467847,113.999802,2.1,OPEN,https://www.linkhk.com/en/parking/3311,2117 7076
tdc14p3431,Hong Pak Car Park,"Hong Pak Court Retail and Car Park, 139 Pik Wan Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.302487,114.239156,2.1,OPEN,https://www.linkhk.com/en/parking/3431,5487 7944
tdc14p3432,Hong Shui Car Park,"Hong Shui Court Retail and Car Park, 133 Pik Wan Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.301579,114.24035,2.2,OPEN,https://www.linkhk.com/en/parking/3432,5487 7944
tdc14p3433,Ko Chun Car Park,"Ko Chun Court Retail and Car Park, 23 Ko Chiu Road, Yau Tong, Kwun Tong, Kowloon",Kwun Tong,22.298017942545,114.24223128341,2.1,OPEN,https://www.linkhk.com/en/parking/3433,5487 7944
tdc14p3434,Ko Yee Car Park,"Ko Yee Estate Retail and Car Park, 28 Ko Chiu Road, Yau Tong, Kwun Tong, Kowloon",Kwun Tong,22.2964,114.2416,4.1,OPEN,https://www.linkhk.com/en/parking/3434,5487 7944
tdc14p3435,Tak Tin Car Park A,"Tak Tin Plaza, 223 Pik Wan Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.309386133021,114.23859366229,2,OPEN,https://www.linkhk.com/en/parking/3435,5487 7944
tdc14p3436,Tak Tin Car Park B,"Tak Tin Plaza, 223 Pik Wan Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.306549206966,114.23858711124,2,OPEN,https://www.linkhk.com/en/parking/3436,5487 7944
tdc14p3441,Kai Tin Car Park A,"Kai Tin Shopping Centre, 50 Kai Tin Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.307253749268,114.23542396654,2.4,OPEN,https://www.linkhk.com/en/parking/3441,5487 7944
tdc14p3443,Ping Tin Phase 2 Car Park,"Ping Tin Shopping Centre, 23 On Tin Street, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.305854633748,114.23734299224,2,OPEN,https://www.linkhk.com/en/parking/3443,5487 7944
tdc14p3444,Ping Tin Phase 4 Car Park,"Ping Tin Shopping Centre, 23 On Tin Street, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.308318222936,114.23644958514,2.2,OPEN,https://www.linkhk.com/en/parking/3444,5487 7944
tdc14p3445,Hong Yat Car Park,"Hong Yat Court Retail and Car Park, 1 Tak Tin Street, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.310441,114.23449,2,OPEN,https://www.linkhk.com/en/parking/3445,5487 7944
tdc25p37,Sunshine Plaza,"17 Sung On Street, Hung Hom, Kowloon",Kowloon City,22.31189919,114.18917084,0,OPEN,https://www.sino-propertyservices.com/en/parking-services/portfolio,23561309
tdc14p3512,Leung King Car Park,"Leung King Plaza, 31 Tin King Road, Tuen Mun, New Territories",Tuen Mun,22.406017,113.962654,1.9,OPEN,https://www.linkhk.com/en/parking/3512,2117 7076
tdc14p3519,Kin Sang Car Park,"Kin Sang Shopping Centre, 3 Leung Wan Street, Tuen Mun, New Territories",Tuen Mun,22.407139,113.969919,2,OPEN,https://www.linkhk.com/en/parking/3519,2117 7076
tdc14p3520,Tai Hing - Car Park H,"Tai Hing Commercial Centre, 1 Tai Hing Street, Tuen Mun, New Territories",Tuen Mun,22.402548269537,113.9707544434,0,OPEN,https://www.linkhk.com/en/parking/3520,2117 7076
tdc14p3521,Tai Hing - Car Park D,"Tai Hing Commercial Centre, 1 Tai Hing Street, Tuen Mun, New Territories",Tuen Mun,22.403886085608,113.97128348062,0,OPEN,https://www.linkhk.com/en/parking/3521,2117 7076
tdc14p3522,Tai Hing - Car Park C,"Tai Hing Commercial Centre, 1 Tai Hing Street, Tuen Mun, New Territories",Tuen Mun,22.401447011523,113.97017550068,0,OPEN,https://www.linkhk.com/en/parking/3522,2117 7076
tdc25p36,Technology Plaza,"29-35 Sha Tsui Road, Tsuen Wan, New Territories",Tsuen Wan,22.37427726,114.10905315,0,OPEN,https://www.sino-propertyservices.com/en/parking-services/portfolio,24171280
tdc14p3527,Fu Tai Car Park,"Fu Tai Shopping Centre, 9 Tuen Kwai Road, Tuen Mun, New Territories",Tuen Mun,22.413938004315,113.98371505855,2.1,OPEN,https://www.linkhk.com/en/parking/3577,2117 7076
tdc14p3554,Kai Tin Car Park B,"Kai Tin Shopping Centre, 50 Kai Tin Road, Lam Tin, Kwun Tong, Kowloon",Kwun Tong,22.308986119146,114.23436817143,2.1,OPEN,https://www.linkhk.com/en/parking/3554,5487 7944
tdc166p2,Phase 2 Carpark of Tin Ching Estate,"Tin Ching Estate (Phase 2 Carpark), Yuen Long, New Territories",Yuen Long,22.462626949961,114.00375166409,0,CLOSED,,34018578
tdc14p4219,Yu Chui Car Park A,"Yu Chui Shopping Centre, 2 Ngau Pei Sha Street, Siu Lek Yuen, Sha Tin, New Territories",Sha Tin,22.381515,114.205714,2.2,OPEN,https://www.linkhk.com/en/parking/4269,5487 7944
tdc14p4220,Yu Chui Car Park B,"Yu Chui Shopping Centre, 2 Ngau Pei Sha Street, Siu Lek Yuen, Sha Tin, New Territories",Sha Tin,22.379993368411,114.20526289073,2.2,OPEN,https://www.linkhk.com/en/parking/4220,5487 7944
tdc14p4222,Kwong Yuen Car Park A,"Kwong Yuen Shopping Centre, 68 Siu Lek Yuen Road, Sha Tin, New Territories",Sha Tin,22.381504,114.215424,2,OPEN,https://www.linkhk.com/en/parking/4222,5487 7944
tdc14p4223,Lek Yuen Car Park,"Lek Yuen Plaza, 6 Lek Yuen Street, Sha Tin, New Territories",Sha Tin,22.385562,114.191191,2,OPEN,https://www.linkhk.com/en/parking/4223,5487 7944
tdc14p4225,Wo Che Car Park S,"Wo Che Plaza, 3 Tak Hau Street, Sha Tin, New Territories",Sha Tin,22.388753418815,114.19659527058,2,OPEN,https://www.linkhk.com/en/parking/4425,5487 7944
tdc14p4227,Wo Che Car Park F,"Wo Che Plaza, 3 Tak Hau Street, Sha Tin, New Territories",Sha Tin,22.385941434995,114.19366214476,3.5,OPEN,https://www.linkhk.com/en/parking/4227,5487 7944
tdc14p4235,Long Ping Car Park B,"Long Ping Commercial Centre, 1 Long Ping Road, Yuen Long, New Territories",Yuen Long,22.450374,114.023061,2,OPEN,https://www.linkhk.com/en/parking/4235,2117 7076
tdc14p4237,Long Ping Car Park D,"Long Ping Commercial Centre, 1 Long Ping Road, Yuen Long, New Territories",Yuen Long,22.448501266018,114.02331108725,2,OPEN,https://www.linkhk.com/en/parking/4237,2117 7076
tdc14p4239,Tin Shing Car Park A,"Tin Shing Shopping Centre, 3 Tin Ching Street, Tin Shui Wai, Yuen Long, New Territories",Yuen Long,22.448487937928,114.00317045676,2.4,OPEN,https://www.linkhk.com/en/parking/4239,2117 7076
